,AFFGEOID,ALAND,AWATER,CD114FP,CDSESSN,GEOID,LSAD,STATEFP,AreaUncert,CvxHullPS,CvxHullPT,CvxHullPTB,HoleCount,PolsbyPopp,PolyCount,ReockPS,ReockPT,ReockPTB,Schwartzbe,areaAH,perimSH
0,5001400,5047105127,1398742998,0,114,1000,C1,10,0.0000000000,0.7368745149,0.7372581064,0.9999988884,0.0000000000,0.3372839723,4.0000000000,0.2526005553,0.2527274788,0.9999982937,0.5807615452,5240076074.6305007935,441851.0343442088
1,5001400,5055929740,98328889,6,114,2406,C2,24,2396473.5000000000,0.3886444417,0.3886444417,0.8496291957,0.0000000000,0.0780498406,1.0000000000,0.1388661126,0.1388661126,0.6820485125,0.2793740156,5154403853.1503229141,910978.5335842783
2,5001400,23605159061,154525039,9,114,5109,C2,51,3343152.5000000000,0.6694802471,0.6694802471,0.8629595068,0.0000000000,0.1926720197,1.0000000000,0.2053939674,0.2053939674,0.7841353747,0.4389442102,23759873984.4192810059,1244851.8627808492
3,5001400,18818285227,61264203,5,114,805,C2,8,0.0000000000,0.7956986839,0.7956986839,0.7956984719,0.0000000000,0.4086653933,1.0000000000,0.4683480579,0.4683480579,0.4678606392,0.6392694215,18881015748.6210174561,761962.6404731607
4,5001400,1016917582,25618480,7,114,1307,C2,13,0.0000000000,0.7449014771,0.7449014771,0.7449015590,0.0000000000,0.2696814803,1.0000000000,0.4466766922,0.4466766922,0.4466793425,0.5193086561,1042538507.6322480440,220407.0201045547
5,5001400,5564763518,255717101,6,114,4806,C2,48,0.0000000000,0.7642633431,0.7642633431,0.7642631921,0.0000000000,0.2231750912,1.0000000000,0.3627994500,0.3627994500,0.3628029239,0.4724141099,5820602539.1345663071,572487.5464259558
6,5001400,6603580737,374142687,4,114,4904,C2,49,0.0000000000,0.6423928425,0.6423928425,0.6423953341,0.0000000000,0.2537380932,1.0000000000,0.3469861660,0.3469861660,0.3380689945,0.5037242234,6977135720.2415618896,587828.5584783105
7,5001400,2291185310,475526115,12,114,1212,C2,12,5072377.0000000000,0.8103196220,0.7770399930,0.8265788274,0.0000000000,0.3447376314,3.0000000000,0.4139921026,0.3980786897,0.4667222257,0.5871436208,2393592600.4056520462,295383.1395079537
8,5001400,2567585494,83505352,5,114,3405,C2,34,2175227.0000000000,0.5844557748,0.5844557748,0.6118181818,0.0000000000,0.2152913181,1.0000000000,0.3103273180,0.3103273180,0.3931553280,0.4639949549,2650784583.7059574127,393349.7619921762
9,5001400,8343984222,77250488,2,114,3902,C2,39,2691291.5000000000,0.8139165107,0.8139165107,0.8659763482,0.0000000000,0.2481615835,1.0000000000,0.4357580728,0.4357580728,0.5411240902,0.4981581912,8419739146.2656021118,652960.5970735851
10,5001400,10447602619,1012437654,6,114,2206,C2,22,3760299.0000000000,0.6047305821,0.6047305821,0.6049759482,0.0000000000,0.0743662807,1.0000000000,0.3816163860,0.3816163860,0.4080841116,0.2727018165,11459894940.3022155762,1391576.9269727943
11,5001400,4985231367,40954042,5,114,1805,C2,18,0.0000000000,0.7765320002,0.7765320002,0.7765367908,0.0000000000,0.3507154419,1.0000000000,0.4452296680,0.4452296680,0.4419016434,0.5922123284,5026157531.9517269135,424370.8416633314
12,5001400,21201485836,375889494,12,114,1312,C2,13,2361661.5000000000,0.6822914072,0.6822914072,0.6989707571,0.0000000000,0.1926903678,1.0000000000,0.4029587098,0.4029587098,0.4218980010,0.4389651100,21575935614.3081817627,1186204.9933253208
13,5001400,2798908521,25364917,2,114,1702,C2,17,2665409.0000000000,0.8064821928,0.8064821928,0.8085225144,0.0000000000,0.3613677199,1.0000000000,0.3207408937,0.3207408937,0.3766260591,0.6011386861,2822288316.4685020447,313278.7542855215
