,Unnamed: 0,AFFGEOID,ALAND,AWATER,CD114FP,CDSESSN,GEOID,LSAD,STATEFP,AreaUncert,CvxHullPS,CvxHullPT,CvxHullPTB,HoleCount,PolsbyPopp,PolyCount,ReockPS,ReockPT,ReockPTB,Schwartzbe,areaAH,perimSH
0,0,5001400,5047105127,1398742998,1,114,1000,C1,10,0.0,0.7368745149,0.7372581064,0.9999988884000001,0.0,0.33728397229999996,4.0,0.25260055530000003,0.2527274788,0.9999982937,0.5807615452,5240076074.630501,441851.03434420883
1,1,5001400,5055929740,98328889,6,114,2406,C2,24,2396473.5,0.3886444417,0.3886444417,0.8496291957,0.0,0.07804984059999999,1.0,0.1388661126,0.1388661126,0.6820485125,0.27937401559999997,5154403853.150323,910978.5335842784
2,2,5001400,23605159061,154525039,9,114,5109,C2,51,3343152.5,0.6694802471,0.6694802471,0.8629595068000001,0.0,0.19267201969999997,1.0,0.2053939674,0.2053939674,0.7841353746999999,0.4389442102,23759873984.41928,1244851.8627808492
3,3,5001400,18818285227,61264203,5,114,805,C2,8,0.0,0.7956986839,0.7956986839,0.7956984719,0.0,0.40866539329999996,1.0,0.4683480579,0.4683480579,0.46786063920000004,0.6392694215,18881015748.621014,761962.6404731607
4,4,5001400,1016917582,25618480,7,114,1307,C2,13,0.0,0.7449014771,0.7449014771,0.7449015590000001,0.0,0.2696814803,1.0,0.4466766922,0.4466766922,0.4466793425,0.5193086561,1042538507.632248,220407.0201045547
5,5,5001400,5564763518,255717101,6,114,4806,C2,48,0.0,0.7642633431,0.7642633431,0.7642631920999999,0.0,0.2231750912,1.0,0.36279945,0.36279945,0.3628029239,0.47241410990000005,5820602539.134566,572487.5464259558
6,6,5001400,6603580737,374142687,4,114,4904,C2,49,0.0,0.6423928425,0.6423928425,0.6423953340999999,0.0,0.2537380932,1.0,0.34698616600000004,0.34698616600000004,0.33806899450000005,0.5037242234,6977135720.241562,587828.5584783105
7,7,5001400,2291185310,475526115,12,114,1212,C2,12,5072377.0,0.8103196220000001,0.7770399929999999,0.8265788274,0.0,0.3447376314,3.0,0.41399210259999997,0.3980786897,0.4667222257,0.5871436207999999,2393592600.405652,295383.1395079537
8,8,5001400,2567585494,83505352,5,114,3405,C2,34,2175227.0,0.5844557748,0.5844557748,0.6118181818,0.0,0.2152913181,1.0,0.310327318,0.310327318,0.39315532799999997,0.46399495490000003,2650784583.705957,393349.7619921762
9,9,5001400,8343984222,77250488,2,114,3902,C2,39,2691291.5,0.8139165106999999,0.8139165106999999,0.8659763481999999,0.0,0.2481615835,1.0,0.4357580728,0.4357580728,0.5411240902000001,0.4981581912,8419739146.265601,652960.597073585
10,10,5001400,10447602619,1012437654,6,114,2206,C2,22,3760299.0,0.6047305821,0.6047305821,0.6049759482,0.0,0.07436628070000001,1.0,0.38161638600000003,0.38161638600000003,0.40808411159999997,0.27270181649999997,11459894940.302214,1391576.9269727943
11,11,5001400,4985231367,40954042,5,114,1805,C2,18,0.0,0.7765320001999999,0.7765320001999999,0.7765367907999999,0.0,0.3507154419,1.0,0.44522966799999997,0.44522966799999997,0.44190164340000004,0.5922123284,5026157531.951727,424370.84166333143
12,12,5001400,21201485836,375889494,12,114,1312,C2,13,2361661.5,0.6822914072,0.6822914072,0.6989707570999999,0.0,0.1926903678,1.0,0.4029587098,0.4029587098,0.421898001,0.43896511,21575935614.30818,1186204.9933253208
13,13,5001400,2798908521,25364917,2,114,1702,C2,17,2665409.0,0.8064821928,0.8064821928,0.8085225144,0.0,0.3613677199,1.0,0.32074089370000003,0.32074089370000003,0.37662605909999997,0.6011386861,2822288316.468502,313278.75428552146
