,state_id,seat_id,d_votes,r_votes,other_votes,d_vote_share,r_vote_share,other_vote_share,d_won,r_won,other_won
0,AK,1,156754,188154,0,0.4544806151205539,0.5455193848794461,0.0,0,1,0
1,AL,1,96363,204399,0,0.3203961936680831,0.679603806331917,0.0,0,1,0
2,AL,2,104592,197329,286,0.3460939025237668,0.652959726280331,0.0009463711959021465,0,1,0
3,AL,3,103051,214731,0,0.3242820549936749,0.6757179450063251,0.0,0,1,0
4,AL,4,50730,246668,0,0.17057949280089307,0.8294205071991069,0.0,0,1,0
5,AL,6,0,273205,8062,0.0,0.9713368436396733,0.028663156360326663,0,1,0
6,AR,2,145377,182494,0,0.4433969457500053,0.5566030542499947,0.0,0,1,0
7,AR,3,106305,214918,12976,0.31808892306679554,0.6430839110829176,0.0388271658502868,0,1,0
8,AR,4,75889,194047,7769,0.273271997263283,0.698752273095551,0.027975729641165986,0,1,0
9,AZ,1,187860,175267,0,0.5173396635336949,0.4826603364663052,0.0,1,0,0
10,AZ,2,209945,170975,0,0.5511524729602016,0.44884752703979836,0.0,1,0,0
11,AZ,3,174243,95594,0,0.6457342766188476,0.3542657233811523,0.0,1,0,0
12,AZ,4,119430,274686,42,0.3030003196687623,0.6968931240771468,0.00010655625409099904,0,1,0
13,AZ,5,183171,262414,0,0.4110798164211093,0.5889201835788906,0.0,0,1,0
14,AZ,6,199644,217783,0,0.47827284770750333,0.5217271522924967,0.0,0,1,0
15,AZ,7,165452,50226,0,0.7671250660707165,0.23287493392928346,0.0,1,0,0
16,AZ,8,170816,251633,0,0.4043470336064235,0.5956529663935765,0.0,0,1,0
17,AZ,9,217094,135180,0,0.6162646122052721,0.383735387794728,0.0,1,0,0
18,CA,1,149986,197556,0,0.4315622284500866,0.5684377715499134,0.0,0,1,0
19,CA,2,272830,82433,0,0.767966267244267,0.23203373275573308,0.0,1,0,0
20,CA,3,158012,127180,0,0.5540548121966956,0.44594518780330444,0.0,1,0,0
21,CA,4,187355,236151,0,0.44239042658191385,0.5576095734180861,0.0,0,1,0
22,CA,5,259935,78261,0,0.7685927686903452,0.23140723130965477,0.0,1,0,0
23,CA,6,204273,71861,0,0.7397604061796085,0.2602395938203915,0.0,1,0,0
24,CA,7,201912,153314,0,0.5684043397724265,0.43159566022757345,0.0,1,0,0
25,CA,8,118672,151766,0,0.4388140719869249,0.5611859280130751,0.0,0,1,0
26,CA,9,150477,108180,0,0.5817627205140399,0.4182372794859602,0.0,1,0,0
27,CA,10,156365,125993,0,0.5537827863917438,0.44621721360825617,0.0,1,0,0
28,CA,11,266074,97913,0,0.7309986345666192,0.2690013654333809,0.0,1,0,0
29,CA,12,360628,0,0,1.0,0.0,0.0,1,0,0
30,CA,13,327278,34850,0,0.9037633102107542,0.0962366897892458,0.0,1,0,0
31,CA,14,275628,71996,0,0.7928911697696361,0.20710883023036383,0.0,1,0,0
32,CA,15,241808,99067,0,0.7093744041070774,0.29062559589292264,0.0,1,0,0
33,CA,16,126299,86669,0,0.5930421471770407,0.4069578528229593,0.0,1,0,0
34,CA,17,204507,82203,0,0.7132886889191169,0.2867113110808831,0.0,1,0,0
35,CA,18,332450,0,0,1.0,0.0,0.0,1,0,0
36,CA,19,212908,83786,0,0.7176012996555373,0.2823987003444626,0.0,1,0,0
37,CA,20,232379,69946,0,0.7686397089225172,0.23136029107748285,0.0,1,0,0
38,CA,21,79092,81157,0,0.49355690207115177,0.5064430979288482,0.0,0,0,0
39,CA,22,142569,168912,0,0.4577133115663556,0.5422866884336445,0.0,0,1,0
40,CA,23,109450,175572,0,0.38400544519370433,0.6159945548062956,0.0,0,1,0
41,CA,24,207844,145918,0,0.5875249461502366,0.4124750538497634,0.0,1,0,0
42,CA,25,166513,166617,0,0.499843904781917,0.500156095218083,0.0,0,0,0
43,CA,26,207543,134798,0,0.606246403439845,0.3937535965601549,0.0,1,0,0
44,CA,27,214718,98452,0,0.6856276143947376,0.3143723856052623,0.0,1,0,0
45,CA,28,240931,90113,0,0.7277914718285182,0.2722085281714817,0.0,1,0,0
46,CA,29,207449,0,0,1.0,0.0,0.0,1,0,0
47,CA,30,237153,103555,0,0.6960593822275967,0.30394061777240333,0.0,1,0,0
48,CA,31,167481,106006,0,0.6123910825743089,0.38760891742569115,0.0,1,0,0
49,CA,32,170359,85496,0,0.6658419808094429,0.33415801919055715,0.0,1,0,0
50,CA,33,254005,121405,0,0.676606909778642,0.323393090221358,0.0,1,0,0
51,CA,34,201805,0,0,1.0,0.0,0.0,1,0,0
52,CA,35,161931,71656,0,0.6932363530504694,0.30676364694953057,0.0,1,0,0
53,CA,36,159760,103384,0,0.6071200559389536,0.3928799440610464,0.0,1,0,0
54,CA,37,251496,40774,0,0.8604920108119205,0.13950798918807952,0.0,1,0,0
55,CA,38,252385,0,0,1.0,0.0,0.0,1,0,0
56,CA,39,165815,169973,0,0.4938085935173383,0.5061914064826617,0.0,0,1,0
57,CA,40,133368,49607,0,0.7288864598988933,0.2711135401011067,0.0,1,0,0
58,CA,41,149119,83894,0,0.6399600022316352,0.36003999776836487,0.0,1,0,0
59,CA,42,139604,184886,0,0.43022589293969,0.5697741070603101,0.0,0,1,0
60,CA,43,196375,77465,0,0.7171158340636868,0.28288416593631316,0.0,1,0,0
61,CA,44,202595,0,0,1.0,0.0,0.0,1,0,0
62,CA,45,217129,188848,0,0.534830790906874,0.465169209093126,0.0,1,0,0
63,CA,46,152858,69363,0,0.687864783256308,0.3121352167436921,0.0,1,0,0
64,CA,47,193822,111731,0,0.6343318507754793,0.3656681492245208,0.0,1,0,0
65,CA,48,191341,199133,0,0.4900223830523927,0.5099776169476072,0.0,0,1,0
66,CA,49,203973,179358,0,0.532106717171322,0.4678932828286781,0.0,1,0,0
67,CA,50,163204,191312,0,0.46035721942028,0.5396427805797199,0.0,0,1,0
68,CA,51,160211,73135,0,0.6865812998722927,0.31341870012770734,0.0,1,0,0
69,CA,52,243697,151995,0,0.6158754789078374,0.3841245210921626,0.0,1,0,0
70,CA,53,334032,0,0,1.0,0.0,0.0,1,0,0
71,CO,1,331624,105954,12714,0.7364643386957797,0.23530064935641762,0.02823501194780276,1,0,0
72,CO,2,316916,182539,16189,0.6146023225326,0.3540019858662178,0.03139569160118221,1,0,0
73,CO,3,193980,220502,14536,0.4521488608869558,0.5139691108531577,0.03388202825988653,0,1,0
74,CO,4,173940,285594,15555,0.3661208741940984,0.6011378920581196,0.032741233747782,0,1,0
75,CO,5,161399,248829,21757,0.3736217692743961,0.5760130560088892,0.0503651747167147,0,1,0
76,CO,6,250366,175227,12969,0.5708793739539677,0.399548980531829,0.029571645514203236,1,0,0
77,CO,7,250524,159301,13865,0.591290802237485,0.37598480020769903,0.03272439755481602,1,0,0
78,CT,1,224442,122088,4506,0.6393703209927187,0.34779338871226884,0.012836290295012478,1,0,0
79,CT,2,217982,140409,8854,0.5935601573881196,0.3823305967405955,0.024109245871284837,1,0,0
80,CT,3,238717,144486,6077,0.6132269831483765,0.3711621454993835,0.015610871352240032,1,0,0
81,CT,4,225598,130635,5658,0.6233865998325463,0.3609788582750055,0.01563454189244828,1,0,0
82,CT,5,192543,152003,5052,0.5507554391043427,0.43479367730936674,0.01445088358629054,1,0,0
83,DE,1,281382,196392,10496,0.5762836135744568,0.4022200831507158,0.02149630327482745,1,0,0
84,FL,1,149172,283352,6038,0.3401389085237663,0.6460933687825211,0.013767722693712634,0,1,0
85,FL,2,0,305337,6662,0.0,0.9786473674595111,0.02135263254048891,0,1,0
86,FL,3,167326,223075,0,0.42860033657700675,0.5713996634229933,0.0,0,1,0
87,FL,4,196423,308497,20,0.3890026537806472,0.6109577375529766,3.960866637620311e-05,0,1,0
88,FL,5,219463,117510,0,0.6512776988067294,0.3487223011932707,0.0,1,0,0
89,FL,6,172305,265393,158,0.3935197873273405,0.6061193634436892,0.0003608492289702551,0,1,0
