,state_id,STATEFP,d_votes,r_votes,other_votes,d_vote_share,r_vote_share,other_vote_share,d_won,r_won,other_won
0,AK,02,143141,187471,16219,0.41271108983914356,0.5405255008923654,0.04676340926849099,0,1,0
1,AL,01,913999,1385344,3869,0.3968366785167844,0.6014834934864876,0.0016798279967280476,0,1,0
2,AR,05,0,790638,395932,0.0,0.6663222565883176,0.33367774341168244,0,1,0
3,AZ,04,1716467,1637661,594,0.5116570016830009,0.48816593446491247,0.00017706385208670047,1,0,0
4,CO,08,1730722,1429085,75001,0.535030827177378,0.44178356180645034,0.023185611016171594,1,0,0
5,DE,10,291804,186054,13077,0.5943841852791103,0.3789788872253964,0.026636927495493293,1,0,0
6,GA,13,2372250,2458731,115156,0.4796167190678301,0.4971012731754094,0.023282007756760478,0,0,0
7,GA,13,2375963,2422262,109928,0.48408495008203695,0.4935180301021586,0.02239701981580444,0,0,0
8,IA,19,754820,864946,50759,0.45184597656425374,0.5177689648463806,0.03038505858936562,0,1,0
9,ID,16,285874,537465,35517,0.33285440166919716,0.6257917508872267,0.041353847443576106,0,1,0
10,IL,17,3195112,2288129,361940,0.5466232782184162,0.3914556281490684,0.0619210936325154,1,0,0
11,KS,20,553019,711507,65528,0.4157868778260131,0.53494594956295,0.049267172611036844,0,1,0
12,KY,21,816154,1233135,85436,0.38232278162292566,0.5776552014896532,0.040022016887421095,0,1,0
13,LA,22,730989,1267291,73263,0.35287174825721696,0.6117618606034246,0.03536639113935844,0,1,0
14,MA,25,2210395,1123858,25029,0.6579962622965264,0.33455303841713796,0.007450699286335592,1,0,0
15,ME,23,325277,385459,51111,0.42695843128607186,0.5059532950841835,0.06708827362974455,0,1,0
16,MI,26,2724186,2637484,103441,0.4984685580951604,0.4826039214940008,0.018927520410838866,1,0,0
17,MN,27,1568149,1399314,247504,0.48776519323526496,0.43524987970327533,0.07698492706145973,1,0,0
18,MS,28,541473,692520,23465,0.43060921319042067,0.5507301237894228,0.018660663020156537,0,1,0
19,MT,30,271311,331425,0,0.4501323962729951,0.5498676037270048,0.0,0,1,0
20,NC,37,2550945,2645292,235815,0.4696098270046016,0.48697840153223865,0.043411771463159776,0,1,0
21,NE,31,223869,579091,92640,0.24996538633318446,0.6465955783832068,0.10343903528360876,0,1,0
22,NH,33,450778,326229,18596,0.566586601609094,0.41003993197612376,0.023373466414782246,1,0,0
23,NJ,34,2351339,1705917,76113,0.568867429934274,0.41271829347924177,0.018414276586484295,1,0,0
24,NM,35,474323,418390,24262,0.5172692821505493,0.45627198124267293,0.026458736606777722,1,0,0
25,OK,40,509763,979140,67458,0.32753519267059505,0.629121392787406,0.043343414541998936,0,1,0
26,OR,41,1314696,907417,85394,0.5697473507122622,0.3932456109558931,0.03700703833184471,1,0,0
27,RI,44,327407,164771,0,0.6652207128315366,0.33477928716846345,0.0,1,0,0
28,SC,45,1110828,1369137,32845,0.44206605354165257,0.5448629223856957,0.013071024072651732,0,1,0
29,SD,46,143987,276232,0,0.3426475242671083,0.6573524757328917,0.0,0,1,0
30,TN,47,1035903,1827905,77903,0.3521430215272676,0.621374771349055,0.026482207123677343,0,1,0
31,TX,48,4863085,5942437,292600,0.43818990276012465,0.5354452762368264,0.026364821003048985,0,1,0
32,VA,51,2451143,1928245,0,0.5596998941404598,0.4403001058595402,0.0,1,0,0
33,WV,54,210011,546900,21118,0.2699269564502094,0.702930096435994,0.02714294711379653,0,1,0
34,WY,56,72766,198100,0,0.2686420591731705,0.7313579408268295,0.0,0,1,0
